symbol,Date,Open,High,Low,Close,Adj Close,Volume,Brent_Price, Gold_Price ,
2010,5/2/2023,91.300003,91.400002,90.400002,90.5,86.892227,500,75.32," $2,023.30 ",
2010,5/3/2023,90.400002,90.400002,89.599998,89.900002,86.316154,658,72.33," $2,037.00 ",
2010,5/4/2023,88.699997,89.400002,88.199997,89,85.452026,284,72.5," $2,055.70 ",
2010,5/7/2023,89.400002,90.400002,89.300003,90.199997,86.604187,250,#N/A,#N/A,
2010,5/8/2023,90.199997,91.199997,90.199997,91.199997,87.564323,500,77.01," $2,033.20 ",
2010,5/9/2023,91.400002,91.599998,90.800003,91.599998,87.948372,388,77.44," $2,042.90 ",
2010,5/10/2023,91.5,92.199997,91.199997,92.199997,88.524452,300,76.41," $2,037.10 ",
2010,5/11/2023,92.199997,93.5,92,93,89.292564,200,74.98," $2,020.50 ",
2010,5/14/2023,93,93.199997,92.400002,92.5,88.8125,300,#N/A,#N/A,
2010,5/15/2023,92.5,92.5,91,91,87.372299,300,75.23," $2,022.70 ",
2010,5/16/2023,91.099998,91.5,90.300003,91,87.372299,274,74.91," $1,993.00 ",
2010,5/17/2023,90.800003,91.5,90.599998,91,87.372299,847,76.96," $1,984.90 ",
2010,5/18/2023,91.099998,91.599998,90.599998,91.199997,87.564323,550,75.86," $1,959.80 ",
2010,5/21/2023,91.300003,91.300003,90.599998,91,87.372299,180,#N/A,#N/A,
2010,5/22/2023,90.800003,91,89.800003,90.099998,86.508171,343,75.99," $1,977.20 ",
2010,5/23/2023,90.199997,91,90.099998,90.099998,86.508171,1000,76.84," $1,974.50 ",
2010,5/24/2023,90.300003,90.800003,89.800003,90.800003,87.180267,891,78.36," $1,964.60 ",
2010,5/25/2023,90.699997,90.699997,90,90.099998,86.508171,398,76.26," $1,943.70 ",
2010,5/28/2023,90.099998,90.400002,89.900002,90.199997,86.604187,745,#N/A,#N/A,
2010,5/29/2023,90.199997,90.300003,89.800003,89.800003,86.220139,270,77.07,#N/A,
2010,5/30/2023,90.099998,90.699997,90,90.099998,86.508171,211,73.54," $1,958.00 ",
2010,5/31/2023,90,90.099998,88.199997,88.199997,84.683914,300,72.66," $1,963.90 ",
2010,6/1/2023,88.900002,89.099998,88.099998,88.300003,84.779938,500,74.28," $1,978.00 ",
2010,6/4/2023,88.900002,90.300003,88.900002,90.099998,86.508171,642,#N/A,#N/A,
2010,6/5/2023,90.300003,90.599998,89.699997,89.699997,86.124115,300,76.71," $1,974.30 ",
2010,6/6/2023,89.699997,90.099998,89.199997,89.699997,86.124115,400,76.29," $1,981.50 ",
2010,6/7/2023,90,90.099998,89.199997,89.199997,85.644051,495,76.95," $1,958.40 ",
2010,6/8/2023,88.900002,89.099998,88.099998,88.300003,84.779938,7354,75.96," $1,978.60 ",
2010,6/11/2023,88.800003,89.099998,88.699997,88.900002,85.35601,200,#N/A,#N/A,
2010,6/12/2023,88.900002,89.599998,88.800003,89.300003,85.740074,412,71.84," $1,969.70 ",
2010,6/13/2023,89.199997,89.5,88.699997,88.699997,85.163986,500,74.29," $1,958.60 ",
2010,6/14/2023,88.900002,89,88.5,88.599998,85.067978,1000,73.2," $1,968.90 ",
2010,6/15/2023,88.800003,88.900002,88.199997,88.300003,84.779938,200,75.67," $1,970.70 ",
2010,6/18/2023,88.699997,88.900002,88.5,88.699997,85.163986,746,#N/A,#N/A,
2010,6/19/2023,88.900002,88.900002,87.900002,88.099998,84.587898,1313172,76.09,#N/A,
2010,6/20/2023,88,88.300003,87.400002,88,84.491898,1290340,75.9," $1,947.70 ",
2010,6/21/2023,88,88.300003,87.5,88.300003,84.779938,1134538,77.12," $1,944.90 ",
